2.931658,0.34706,-0.72968,0.11389,5.14856,5.15635
2.946630,0.34538,-0.73010,0.11263,5.14856,5.15425
2.965069,0.34034,-0.73136,0.10885,5.14856,5.14794
2.980092,0.33572,-0.73136,0.11347,5.14856,5.14273
2.995096,0.33418,-0.73136,0.10605,5.14856,5.14099
3.010133,0.34846,-0.72296,0.10605,5.14856,5.16153
3.025146,0.34622,-0.72408,0.10497,5.14856,5.15841
3.043530,0.33950,-0.72744,0.10171,5.14856,5.14905
3.058558,0.34412,-0.72702,0.10885,5.14856,5.15447
3.073540,0.34566,-0.72751,0.11127,5.14856,5.15594
3.088602,0.34454,-0.72940,0.11851,5.14856,5.15368
3.103632,0.35434,-0.72898,0.11130,5.14856,5.16484
3.118682,0.34790,-0.72856,0.10409,5.14856,5.15789
3.137050,0.34275,-0.73013,0.10521,5.14856,5.15129
3.152249,0.33971,-0.72975,0.10689,5.14856,5.14807
3.167299,0.33446,-0.72744,0.11109,5.14856,5.14334
3.182399,0.34062,-0.72660,0.10658,5.14856,5.15076
3.197557,0.34678,-0.72576,0.10507,5.14856,5.15813
3.212686,0.34552,-0.72772,0.10969,5.14856,5.15567
3.227799,0.34328,-0.72709,0.11015,5.14856,5.15349
3.246393,0.33782,-0.72520,0.11151,5.14856,5.14833
3.261514,0.33803,-0.72478,0.10763,5.14856,5.14879
3.276582,0.33810,-0.72464,0.10633,5.14856,5.14894
3.291684,0.34006,-0.73024,0.10409,5.14856,5.14821
3.306700,0.34006,-0.72884,0.10574,5.14856,5.14894
3.321955,0.34006,-0.72464,0.11067,5.14856,5.15116
3.337116,0.33922,-0.73073,0.11204,5.14856,5.14701
3.355559,0.33838,-0.73186,0.11291,5.14856,5.14547
3.370674,0.34398,-0.72828,0.11459,5.14856,5.15365
3.385716,0.34328,-0.72604,0.12117,5.14856,5.15405
3.400817,0.34258,-0.72380,0.12775,5.14856,5.15446
3.415869,0.33985,-0.72401,0.12261,5.14856,5.15126
3.430913,0.33894,-0.72408,0.12229,5.14856,5.15019
3.449283,0.34454,-0.73024,0.12649,5.14856,5.15324
3.464445,0.34328,-0.72870,0.11967,5.14856,5.15264
3.479453,0.34202,-0.72716,0.11739,5.14856,5.15204
3.494452,0.33929,-0.72688,0.11137,5.14856,5.14911
3.509429,0.34069,-0.72632,0.11239,5.14856,5.15098
3.524449,0.34762,-0.72464,0.11543,5.14856,5.15968
